"Node","Node_ID","Node_Name","Node_Order","Node_Type","Downstream_Node","Latitude","Longitude","County"
06733000,06733000,BIG THOMPSON RIVER AT ES,0,StreamGage,0400518_O,40.378317,-105.513887,LARIMER
LTCANYCO,LTCANYCO,LITTLE THOMPSON RIVER AT,0,StreamGage,0400602,40.258038,-105.206386,
0400574,0400574,BUCKHORN HIGHLINE DITCH,0,StreamGage,0400578,40.520990,-105.259505,LARIMER
0600902_C,0600902_C,NEW DRY CR CARRIER DITCH,0,StreamGage,0600580,,,
06734500,06734500,FISH CREEK NEAR ESTES PA,0,StreamGage,0404128,40.368595,-105.493886,LARIMER
06738000,06738000,BIG THOMPSON RIVER AT MO,0,StreamGage,0400521,40.421650,-105.226652,LARIMER
06735500,06735500,BIG THOMPSON RIVER NEAR,0,StreamGage,0402112,40.376373,-105.485553,LARIMER
06736000,06736000,NORTH FORK BIG THOMPSON,0,StreamGage,0400561,40.433317,-105.338879,LARIMER
06_ELDORA,06_ELDORA,Eldora Ski Resort,0,StreamGage,0604199,,,
06752500,06752500,CACHE LA POUDRE RIVER NE,0,StreamGage,CenHighRFs,40.417759,-104.639961,WELD
06729500,06729500,SOUTH BOULDER CREEK NEAR,0,StreamGage,0600597,39.931099,-105.295822,BOULDER
8000706,8000706,BEAVER CREEK DITCH,0,StreamGage,8000650,39.456033,-105.821410,PARK
PLABAICO,PLABAICO,NORTH FORK SOUTH PLATTE,0,StreamGage,8000774_D,39.388318,-105.475282,
0801235,0801235,RED ROCK DITCH,0,StreamGage,0801241,39.275775,-105.015036,DOUGLAS
06709530,06709530,PLUM CREEK AT TITAN ROAD,0,StreamGage,08_AUP001_I,39.507369,-105.024467,DOUGLAS
06720820,06720820,BIG DRY CREEK AT WESTMIN,0,StreamGage,0200871,39.905681,-105.035389,ADAMS
PLAGRACO,PLAGRACO,NORTH FORK SOUTH PLATTE,0,StreamGage,8000732_D,39.457763,-105.660011,
06730500,06730500,BOULDER CREEK AT MOUTH N,0,StreamGage,0500589,40.152047,-105.015181,WELD
