Node_ID,Node_Name,Node_Type
0700725,Coors Ind Ditch,DIV
0700726,Coors Ind Ditch,DIV
0700903,Straight Creek Tunnel,DIV
0700903_C,Straight Ck Tun Divn,DIV
0704625,Berthoud Pass Divn,DIV
0704625_C,Berthoud Pass Divn,DIV
0704626,Vidler Tunnel,DIV
0704626_C,Vidler Tunnel Divn,DIV
0704650,Gumlick Tunnel,DIV
0704650_C,Gumlick Tunnel Divn,DIV
07_ADP001,WD7 Agg SW Irrig,DIV
07_AMP001_I,WD7 Upper Agg Muni In,DIV
07_AMP001_O,WD7 Upper Agg Muni Out,DIV
07_AUP001_I,WD7 Upper Agg Uninc In,DIV
07_AUP001_O,WD7 Upper Agg Uninc Out,DIV
07_Arvada_I,ArvadaIndoorDem,DIV
07_Arvada_O,ArvadaOutdoorDem,DIV
07_ConMut_I,ConMututalIndoorDem,DIV
07_ConMut_O,ConMututalOutdoorDem,DIV
07_CoorsB,Coors Malting Potable De,DIV
07_CoorsC,Coors Cooling Demand,DIV
07_Golden_I,GoldenIndoorDem,DIV
07_Golden_O,GoldenOutdoorDem,DIV
07_LSA,Loveland Ski Area,DIV
0801001,Aurora Intake,DIV
0801001_A,0801001 Aug Stn,DIV
0801002_D,Denver Conduit 20,DIV
0801004,HIGHLINE CNL,DIV
0801006,Last Chance Pump Stn,DIV
0801007,LAST CHANCE DITCH 2,DIV
0801008,CITY DITCH PL,DIV
0801009_D,Nevada Ditch,DIV
0801013,Englewood Intake,DIV
0801014,Arapahoe Power Plant,DIV
0801015,EPPERSON DITCH/PUMP,DIV
0801017,Denver Conduit 26,DIV
0801100,Chatfield Pumps,DIV
0801124,HAYLAND DITCH,DIV
0801125,FAIRVIEW DITCH,DIV
0801127,OLD TIME DITCH,DIV
0801128,GARDEN DITCH,DIV
0801235,RED ROCK DITCH,DIV
0801237,SPRING CREEK DITCH,DIV
0801240,RATCLIFF DILLON DITCH,DIV
0801241,DAKAN DITCH,DIV
0801362,JOHN JONES DITCH,DIV
0801400,ALDERMAN DITCH,DIV
0801403,HEISER DITCH,DIV
0801404,MCCRACKEN DITCH,DIV
0801405,SMITH DITCH,DIV
0801406,SCHREIBER DITCH,DIV
0801412,SIXTY SEVEN DITCH,DIV
0801413,CRAWFORD DITCH,DIV
